height,weight,hand_length
170.9,66.1,74.1
175.1,60.9,73.6
170.7,71.5,77.7
171.7,51.8,75.6
170.8,58.2,73.3
177.6,64.9,76.8
169,48,69.9
171.7,56.4,72.6
162.7,57.6,70.7
174.3,64.4,76.7
167.8,58.9,69.1
166.5,58.2,71.4
164.1,45.8,73.3
172.4,61,72.7
166.2,51.2,69.7
172.7,57.8,75
171.3,57.3,72.6
175.7,59.9,75.6
170.8,58.2,70.8
168.4,60.2,71.7
178,63,77.1
174.1,59.5,72.2
170,58.6,70.9
163.1,52.8,66.1
176.1,60.5,76.5
175.2,60.3,73.7
167.7,63.6,70.4
166.6,61.8,73.8
183.1,67.1,79.8
171.8,64.5,74
169.9,48,71.2
164.5,51.6,69.4
176.1,61.6,76.2
175.2,52.8,72.8
174,61.8,73
172.1,63.4,73.2
173.5,58.7,73.7
165.3,65.8,71.1
167.8,58,72.9
173.4,65.2,73
168.5,50.5,72
170,54.5,72.9
173.7,59,73.5
170.2,60.2,72.4
173.3,68.9,72.5
165.1,55.4,68.8
176.9,72.2,73.7
168,51.3,71.5
175.1,69.2,73.3
168.5,56.9,72.3
176,73.9,74.7
171.1,63.1,72.4
171.6,61.1,70.1
166.6,63.5,72.5
166.3,71.1,71.4
167.9,51.8,71.6
163.7,50.5,66.7
180.4,75.8,77.6
171.8,57,72.4
177,63.1,80.3
171.9,55.6,70.9
175.4,59.3,73.8
166.1,54.2,73.2
171.9,63.5,75.4
163.6,58.6,68.5
163.1,37.9,66.7
165.9,60.6,70.9
166.1,57.3,67.7
175.2,64.2,73.8
175.4,65.8,77.2
177.1,66.9,74
177,70.3,75.2
181.2,79.6,78.7
175.8,58.8,77.5
173.2,55.2,75.1
175.6,58.7,75
178.3,66.7,77.9
169.2,56.6,73.8
174.7,55.2,74.8
172.2,61.5,75.8
169.7,59.3,71.1
174.4,58.3,72.3
172.6,69.5,74.3
169.3,65.9,69.9
170.5,61.7,73.6
174.6,60.9,75.2
180.9,55.6,76.5
167.8,59.9,70.7
169.4,60.2,74
171.6,59.5,73
172.1,66.2,74.5
172.7,62.3,73.3
176.3,62,76.9
177.4,65.1,74.9
164.9,53.9,70.3
169.8,63.2,73.8
165.8,55,69.3
166.8,58.8,70.4
178.8,69,74.9
167.5,58.7,73